Product	EMA	FDA	EN	Other	WHO	Year	Generic	DrugBank ID	ATC	ChEMBL	Indications	Targets	Last Update	
Carfilzomib	Y	Y	N		N	2009	N	<a href="https://go.drugbank.com/drugs/DB08889">DB08889</a>	L01XG02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL451887">CHEMBL451887</a>	Refractory Multiple Myeloma; Waldenstrom&#39;s Macroglobulinemia (WM)	PSMD8; PSMA4; PSMD13; PSMB7; PSMB1; PSMB10; PSMC2; PSMB9; PSMA2; PSMA6; PSMC4; NFE2L2; PSMD4; PSMB6; PSMB3; PSMB4; PSMB8; PRB2; PSMC5; PSMD6; PSMB5; PSMD7; PSMA7; PSMD12; PSMA1; PSMA5; PSMD14; PSMB11; PSME4; PSMC6; PIPSL; AR; PSMD2; PSMD10P1; PSMF1; PSMA3; PSMD3; PSMD10; PSMD9; PSMD5; SEM1; PSMC3; PSMD4P1; PSMD10P2; PSMC3IP; VEGFA; PSME1; PSMD10P3; PSME2P2; ADRM1; PSMD1; PSME3; PSMC1; PSMA8; PSMB2; PSME2; PSMC1P1; PSMD11; KDR	2024-02-07	
Carmofur	N	N	N	Japan	N			<a href="https://go.drugbank.com/drugs/DB09010">DB09010</a>	L01BC04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL460499">CHEMBL460499</a>		CYP3A4	2024-02-07	
Carmustine	Y	Y	N		N	1977	Y	<a href="https://go.drugbank.com/drugs/DB00262">DB00262</a>	L01AD01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL513">CHEMBL513</a>	Astrocytomas; Brain Stem Gliomas; Ependymomas; Glioblastomas; Medulloblastomas; Mycosis Fungoides (MF); Recurrent Glioblastoma Multiforme; Refractory Hodgkin Lymphoma; Refractory Multiple Myeloma; Tumors Metastatic to Brain; High grade newly diagnosed Glioma; Refractory Non-Hodgkin&#39;s lymphoma	CYP2C9; CYP2D6; CYP3A4; MGMT; GSR; G6PD; PLAU; E2F1; CYP2C19; CYP1A2; ALDH1A1	2024-02-07	
Cemiplimab	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB14707">DB14707</a>	L01FF06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297723">CHEMBL4297723</a>	Metastatic cutaneous squamous cell carcinoma; Locally advanced cutaneous squamous cell carcinoma, and not a candidate for curative surgery or curative radiation	PDCD1; CD274; ROS1; CDK12; ALK; EGFR	2024-02-07	
Ceritinib	Y	Y	N		N	2014	N	<a href="https://go.drugbank.com/drugs/DB09063">DB09063</a>	L01ED02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2403108">CHEMBL2403108</a>	Refractory, locally advanced Non-small cell lung cancer; Refractory, metastatic Non small cell lung cancer	EML4; ALK; ABCB1; NRAS; INSR; IGF1R; NPM1; TP53; TSSK1B; MAP2K1; CYP3A4; ROS1	2024-02-07	
Cetuximab	Y	Y	N		N	2004	N	<a href="https://go.drugbank.com/drugs/DB00002">DB00002</a>	L01FE01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201577">CHEMBL1201577</a>	Locally Advanced Squamous Cell Carcinomas of the Head and Neck (SCCHN); Metastatic Colorectal Cancer (MCRC); Metastatic Squamous Cell Carcinoma of the Head and Neck; Recurrent Squamous Cell Carcinoma of the Head or Neck; Regionally Advanced Squamous Cell Carcinoma of the Head and Neck	PTEN; EGFR; KRAS; MAP2K1; HBEGF; NT5E; ERBB3; TGFA; GC; NRAS; PIK3CA; FCGR3A; EREG; NF2; IDH1; HRAS; BAX; EGF; BRAF; CXCL8; NRG3; MGAT4A; SMAD4; NRG2; MET; AREG; CTNNB1; PTP4A3; BTC; TP53; BDNF; ERBB2; VPS37A; NRG1	2024-02-07	
Chlorambucil	N	Y	Y		Y	1957	N	<a href="https://go.drugbank.com/drugs/DB00291">DB00291</a>	L01AA02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL515">CHEMBL515</a>	Chronic Lymphocytic Leukaemia (CLL); Hodgkins Disease (HD); Non-Hodgkin&#39;s Lymphoma (NHL); Waldenstrom&#39;s Macroglobulinemia (WM); Giant follicular lymphoma	CXCL12; BAZ2B; NFKB1; ERBB2; RORC; MGMT; PALB2; GFER; GSTM1; TP53; FANCC	2024-02-07	
Ciltacabtagene Autoleucel	Y	Y	N		N	2022	N	<a href="https://go.drugbank.com/drugs/DB16738">DB16738</a>		<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4802263">CHEMBL4802263</a>	Refractory Multiple Myeloma, Relapsed Multiple Myeloma	TNFRSF17	2024-02-07	
Cisplatin	N	Y	Y		Y	1978	Y	<a href="https://go.drugbank.com/drugs/DB00515">DB00515</a>	L01XA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2068237">CHEMBL2068237</a>	Advanced Pancreatic Cancer; Breast Cancer; Cervical Cancers; Esophageal Cancers; Head and Neck Carcinoma; Hepatobiliary Cancers; Hepatoblastomas; Malignant Neoplasm of Stomach; Medulloblastomas; Metastatic Melanoma; Multiple Myeloma (MM); Neuroblastomas; Non-Small Cell Lung Carcinoma (NSCLC); Ovarian Cancer Metastatic; Pleural Mesotheliomas; Primary Central Nervous System Lymphoma (PCNSL); Recurrent Endometrial Cancer; Refractory Hodgkin Lymphoma; Sarcoma, Osteogenic; Small Cell Lung Cancer (SCLC); Thymic Cancer; Advanced Bladder cancer; Metastatic Anal cancer; Metastatic Endometrial cancer; Metastatic Penile cancer; Metastatic Testicular cancer; Refractory Non-Hodgkin&#39;s lymphoma	BARD1; KRAS; TP73; BLMH; NR1I2; MIR21; ATR; GABPA; BIRC7; BAX; CYBA; MTHFD1; ESR1; APEX1; G6PD; GSTT1; SLC19A1; ACYP2; KDM4E; RECQL; ATP7B; MTR; MAPT; SLC22A1; ADH1C; TP53; POLR1G; GALNT18; LIF; ALK; FGFR1; FAS; BCL2; HEXB; ERCC6; RRM1; MGMT; GSTP1; NRG1; HMGB1; IL6; NFE2L2; TGM2; ALOX15; IFNG; PPP1R13L; ATM; SLC31A1; OTOS; BRCA2; KAT2A; PALB2; CASP3; RB1; EHMT2; ACTL6A; H2AC25; HTR4; TPMT; IDH1; DNMT1; XRCC3; CGA; ABCC4; NTRK2; MT1H; PLAU; GALNT14; PTEN; BIRC5; HPGD; RGS4; FANCC; RAD51C; PIK3CA; ABCC1; CBX1; TERC; FASLG; MTHFR; CCND1; CDC25C; HSD17B10; GCLC; FANCA; CLCN6; LRP2; FXN; STAT1; GADD45A; HSPA8; PRL; ABCC5; RARS1; HSPA4; XRCC5; MLLT3; TOP1; XPC; DRAM1; ALDH1A1; MUTYH; DFFB; TMEM43; GRP; ATRX; ACSS2; E2F1; KRT20; AQP9; MYCN; NRAS; SMARCA4; OSGEP; MDH2; GCLM; AURKA; CHEK1; ANPEP; GSTM4; ERCC4; GNAS; CDK12; NF2; TYMS; GPX5; MYC; UBE2I; CSNK2A3; MT1F; BRCA1; MECP2; RAF1; XIAP; MAP3K1; CDH17; XRCC1; EGFR; ERCC2; MSH2; DCBLD1; CXCR4; ERCC1; CD44; MDM2; PPARD; DDIT3; MPHOSPH8; FGFR3	2024-02-07	
Cladribine	Y	Y	N		N	1993	Y	<a href="https://go.drugbank.com/drugs/DB00242">DB00242</a>	L04AA40; L01BB04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1619">CHEMBL1619</a>	Chronic Lymphocytic Leukaemia (CLL); Cutaneous T-Cell Lymphoma (CTCL); Hairy Cell Leukemia (HCL); Non-Hodgkin&#39;s Lymphoma (NHL)	RRM2B; CDKN1A; DCK; NFE2L2; TGFB1; BCL2L2; RRM2; YES1; NT5C1A; TP53; ADA; DIABLO; RRM1; XIAP; IL2RA	2024-02-07	
Clofarabine	Y	Y	N		N	2004	Y	<a href="https://go.drugbank.com/drugs/DB00631">DB00631</a>	L01BB06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1750">CHEMBL1750</a>	Acute Lymphoblastic Leukaemia Recurrent; Refractory Acute Lymphoblastic Leukemia; Refractory Acute Myelogenous Leukemia (AML); Refractory Langerhans cell histiocytosis	POLA1; RRM1; POLE2; RRM2; POLE3; POLA2; AR; POLD2; POLD4; FLT3; POLE; POLD3; PRIM1; APBB1; POLD1; RRM2B; PRIM2	2024-02-07	
Cobimetinib	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB05239">DB05239</a>	L01EE02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2146883">CHEMBL2146883</a>	Metastatic Melanoma; Unresectable Melanoma	KRAS; MAP2K2; NRAS; BRAF; NF1; MAP2K3; ARAF; MAP2K1; RAF1; CDKN2A; PIK3CA; MAP2K5; MAP2K4; MAP2K6; MAP2K7; CBL	2024-02-07	
Copanlisib	N	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB12483">DB12483</a>	L01EM02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3218576">CHEMBL3218576</a>	Relapsed Follicular Lymphoma	PIK3CG; PIK3CA; PIK3CD; PIK3R3; PIK3R6; NRAS; AURKB; PIK3R4; PIK3C2G; PIK3CB; PIK3C3; PIK3R1; PIK3R2; PIK3R5; KIT; PIK3C2B; PIK3C2A; PTEN	2024-02-07	
Crizotinib	Y	Y	N		N	2011	N	<a href="https://go.drugbank.com/drugs/DB08865">DB08865</a>	L01ED01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL601719">CHEMBL601719</a>	Metastatic Non-Small Cell Lung Cancer	ABL1; IGF1R; TP53; BRAF; MET; ALK; NPM1; EML4; ROS1; NTRK2; EGFR; KIT; PIK3CA; ABCB1; ERBB2; HRAS; NTRK1; PTPN12; NTRK3; KRAS; JAK2; AREG	2024-02-07	
Cyclophosphamide	N	Y	Y		Y	1959	Y	<a href="https://go.drugbank.com/drugs/DB00531">DB00531</a>	L01AA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL88">CHEMBL88</a>	Acute Lymphoblastic Leukaemias (ALL); Acute Myelocytic Leukemia; Adenocarcinoma of the Ovaries; Breast Cancer; Burkitt&#39;s Lymphoma; Chronic Lymphocytic Leukaemia (CLL); Chronic Myeloid Leukemia (CML); Disseminated Neuroblastoma; Ewing&#39;s Sarcoma; Lung Cancers; Lymphoma, Hodgkins; Multiple Myeloma (MM); Non-Hodgkin&#39;s Lymphoma (NHL); Ovarian germ cell tumour; Pheochromocytomas; Retinoblastoma; Rhabdomyosarcomas; Waldenstrom&#39;s Macroglobulinemia (WM); Advanced Alibert-Bazin syndrome; Histiocytic lymphoma; Metastatic gestational trophoblastic tumor; Mixed-cell type lymphoma; Refractory Small cell lung cancer; Relapsed Wilm&#39;s tumor	EHMT2	2024-02-07	
Cytarabine	Y	Y	N		Y	1969	Y	<a href="https://go.drugbank.com/drugs/DB00987">DB00987</a>	L01BC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL803">CHEMBL803</a>	Acute Lymphocytic Leukemia (ALL); Acute Myeloid Leukemia (AML); Acute Promyelocytic Leukemia (APL); Leptomeningeal Metastases; Meningeal leukemia; Non-Hodgkin&#39;s Lymphoma (NHL); Blast phase Chronic myelocytic leukemia	POLB; CYP2C9; GSTP1; FLT3; DOK5; NT5C2; RRM1; IDH2; CDA; NOS3; CSF2; SLCO1B1; CCND1; CYP2E1; VDR; POLD2; FCGR3A; BMP7; RRM2B; POLD1; POLA1; PRIM2; SLC22A12; NTRK1; SLC29A1; LINC00251; P2RY12; ABCC4; IDH1; DCK; ALK; CYP1A2; ITGAV; NCOA3; GATA3; IKZF1; KIT; GSTM1; CYP3A4; POLE2; CYP2C19; POLD4; TP53; IL1B; RRM2; CYP2D6; POLE3; BIRC5; POLE; POLD3; NT5C3A; NRAS; SULT2B1; XIAP; HSPA4; MED12L; ADH1A; ABCC3; RUNX1; FCGR3B; PRIM1; TP73; WT1; MAGEA1; EHMT2; POLA2; KMT2A; NRG1	2024-02-07	
Dabrafenib	Y	Y	N		N	2013	N	<a href="https://go.drugbank.com/drugs/DB08912">DB08912</a>	L01EC02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2028663">CHEMBL2028663</a>	Metastatic Melanoma; Unresectable Melanoma; Metastatic Non-small cell lung cancer with a BRAF V600E mutation; Pediatric  low-grade glioma (LGG) with a BRAF V600E mutation; Locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation	RAC1; MAP2K6; NRAS; CDKN2A; MAP2K1; ALK; PTEN; MAP2K2; PIK3CA; MAP2K5; HRAS; MAP2K7; MAP2K3; MAP2K4; ATXN1L; AKT1; HLA-DRB1; NF1; G6PD; TP53; MITF; EZH2; EML4; KRAS; BRAF	2024-02-07	
Dacarbazine	N	Y	Y		Y	1975	Y	<a href="https://go.drugbank.com/drugs/DB00851">DB00851</a>	L01AX04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL476">CHEMBL476</a>	Advanced Soft Tissue Sarcoma; Lymphoma, Hodgkins; Metastatic Melanoma; Pheochromocytomas; Advanced Medullary thyroid cancer; Advanced Pancreatic neuroendocrine tumor	FN1; PLAU; POLA2; CYP2D6; CYP1A2; ADK; BAX; EPM2AIP1; CYP2C19; CYP3A4; CXCL8; CYP2C9; GSTM1; MGMT	2024-02-07	
Dacomitinib	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB11963">DB11963</a>	L01EB07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2110732">CHEMBL2110732</a>	Metastatic Non-Small Cell Lung Cancer	EGFR; ERBB4; ERBB3; ERBB2	2024-02-07	
Dactinomycin	N	Y	N		Y	1964	Y	<a href="https://go.drugbank.com/drugs/DB00970">DB00970</a>	L01DA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1554">CHEMBL1554</a>	Ewing&#39;s Sarcoma; Ovarian Cancer; Rhabdomyosarcomas; Sarcoma, Osteogenic; Wilms&#39; tumor; Metastatic nonseminomatous Testicular cancer	MTR; TFPI; BDNF; HTT; APEX1; BGLAP; RECQL; VDR; MTHFR; CD5; AR; THRB; TOP2A; BIRC5; CYP1A2; CYP3A4; ESR1; NR3C1; CEL; RXRA; COIL; TNFRSF1B; CYP2D6; CSF1; ALOX15; NRG1; PPARD; GRB2; AFP; PIK3CB; RORC; EHMT2; DDIT3; NTF3; TNFRSF8	2024-02-07	
Daratumumab	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB09331">DB09331</a>	L01FC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1743007">CHEMBL1743007</a>	Multiple Myeloma (MM); Refractory Multiple Myeloma; Relapsed Multiple Myeloma; Relapsed Or Refractory Multiple Myeloma	CD38	2024-02-07	
Daratumumab, Hyaluronidase	N	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB09331">DB09331</a>	L01FC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1743007">CHEMBL1743007</a>	Multiple Myeloma (MM); Refractory Multiple Myeloma; Relapsed Multiple Myeloma; Relapsed Or Refractory Multiple Myeloma	CD38	2024-02-07	
Darolutamide	Y	Y	N		N	2019	N	<a href="https://go.drugbank.com/drugs/DB12941">DB12941</a>	L02BB06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297185">CHEMBL4297185</a>	Non-mestatatic castrate-resistant prostate cancer	AR	2024-02-07	
Dasatinib	Y	Y	N		Y	2006	Y	<a href="https://go.drugbank.com/drugs/DB01254">DB01254</a>	L01EA02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1421">CHEMBL1421</a>	Acute Lymphoblastic Leukaemias (ALL); Chronic Myeloid Leukemia (CML)	ABL1; HRAS; MAP2K2; ABL2; EPHA2; KIT; LCK; PDGFRA; SRC; ARID1A; FYN; CBL; JAK2; KRAS; PDGFRB; MAP4K5; ABI1; YES1; ERBB4; IDH2; BTK; BCR; CSF3R; FGR; APC; TET2; LIMK1; LYN; DYRK3; FGFR1; MAPK14; BRAF; AR; ACVR1; TEC; FRK; SYK; GMNN; SRMS; IDH1; PKN2; ABCB1; HCK; MAP3K20; AXL; CDC42BPA; ABCG2; BLK; PPARD; AURKB; SMAD3; BRCA2; CSF1R; SIK2; SLK; NF1; MINK1; MAP3K10; ERBB2; FES; KDR; PTK6; CRKL; PLK4; MAP2K1; IRAK4; STAT5B; FGFR3; TNK2; DDR2; TAOK1	2024-02-07	
Daunorubicin	N	Y	Y		Y	1979	Y	<a href="https://go.drugbank.com/drugs/DB00694">DB00694</a>	L01DB02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL178">CHEMBL178</a>	Acute Lymphocytic Leukemia (ALL); Acute Myeloid Leukemia (AML); Acute Myeloid Leukemia With Myelodysplasia-Related Changes; Acute erythroid leukemia; Acute monocytic leukaemia; Newly diagnosed Therapy-Related Acute Myeloid Leukemia	IDH1; SETD4; THRB; FLT3; SZRD1; SLC28A3; RECQL; MAN1B1; LINC00251; TOP2A; NPM1; HDAC2; BMP7; DCK; WT1; HDAC6; HDAC3; AKR1C4; ABCG2; RUNX1; DNMT3A; BLM; KDM4E; APP; TYMS; UGT1A6; HDAC10; ABCC1; HDAC9; HDAC7; ATP7B; PNPLA3; HDAC8; ANXA5; GSTP1; IKZF1; GATA3; CYP1A1; CBR1; FAS; CBR3; DOK5; MAPT; NOS3; TOP1; USP1; RARG; CDK2; CBFB; POLK; IDH2; MTHFR; NRP2; APEX1; SLCO1B1; KMT2A; AR; HDAC4; HDAC5; HTT; EHMT2; HDAC11; FMO3; AKR7A2; TOP2B; HDAC1; ABCB1; RPSA; AKR1C3	2024-02-07	
Daunorubicin, Cytarabine Liposome	Y	Y	N		N	2017	Y	<a href="https://go.drugbank.com/drugs/DB00694">DB00694</a>	L01XY01;  L01DB02		Acute Lymphocytic Leukemia (ALL); Acute Myeloid Leukemia (AML); Acute Myeloid Leukemia With Myelodysplasia-Related Changes; Acute erythroid leukemia; Acute monocytic leukaemia; Newly diagnosed Therapy-Related Acute Myeloid Leukemia		2021-10-28	
Decitabine	Y	Y	N		N	2006	Y	<a href="https://go.drugbank.com/drugs/DB01262">DB01262</a>	L01BC08	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201129">CHEMBL1201129</a>	Chronic Myelomonocytic Leukemia; Myelodysplastic Syndromes (MDS)	DNMT1; TP53; IDH1; CCND2; CR2; CDKN2D; LIF; KRAS; DNMT3A; GSTP1; GMNN; THBS1; CTAG1B; IDH2; FLT3; IL2RA; TGM2; NR5A1; CYP27B1; APC; MUC2; MAGEA1	2024-02-07	
Decitabine , Cedazuridine	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/Not found in DrugBank">Not found in DrugBank</a>	L01BC58		Acute Myeloid Leukaemia		2023-08-01	
Degarelix	Y	Y	N		N	2008	N	<a href="https://go.drugbank.com/drugs/DB06699">DB06699</a>	L02BX02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL415606">CHEMBL415606</a>	Advanced Prostate Cancer	GNRHR; GNRHR2	2024-02-07	
Denileukin Diftitox	N	Y	N		N	1999	N	<a href="https://go.drugbank.com/drugs/DB00004">DB00004</a>	L01XX29	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201550">CHEMBL1201550</a>	Cutaneous T-Cell Lymphoma (CTCL)	IL2RA; IL12RB1; IL12RB2; IL2RB; IL2RG; EEF2	2024-02-07	
Denosumab	Y	Y	N		N	2010	N	<a href="https://go.drugbank.com/drugs/DB06643">DB06643</a>	M05BX04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1237023">CHEMBL1237023</a>	Giant cell tumor of the bone; Refractory Hypercalcemia of malignancy	TNFSF11; BRAF; TNFRSF11A	2024-02-07	
Dexamethasone	Y	Y	N		Y	1958	Y	<a href="https://go.drugbank.com/drugs/DB01234">DB01234</a>	S03BA01; S02BA06; S01CB01; S01BA01; R01AD03; H02AB02; D10AA03; D07XB05; D07AB19; C05AA09; A01AC02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL384467">CHEMBL384467</a>	Leukemia, Acute; Malignant Lymphomas; Multiple Myeloma (MM); Mycosis Fungoides (MF)	AR; HTR7; PYGL; NR3C1; RPS19; SFTPA1; NPPC; DOK5; CYP2C9; FOLR1; RARA; AGTR1; SI; CHKA; BIRC5; SMAD3; KDR; SOAT1; ANXA1; HYAL2; GATA3; THRSP; IRS2; LINC00251; NR1I2; CTLA4; HSPA8; CHAT; CDK4; F9; SDS; CDK2; TEAD1; VEGFA; TGFBR3; ALK; GLS; GSTP1; TDO2; CARTPT; S100A10; TG; NFE2L2; VCAM1; SAG; APOB; UBR1; NRG1; DPEP1; CCL17; GGT1; TJP1; UGT1A1; CD86; TYMS; MT1F; VDR; KRT19; CYP3A4; CYP1A2; SERPINE1; PTGDR; PTH1R; CTNNB1; FABP1; SLC2A4; CHRM3; CRISPLD2; RET; CDK6; RELA; CDH17; TSC22D3; IGFBP1; NR5A1; CYP2C19; NTRK1; JUNB; CYP2D6; JAK3; BMP7; ACTC1; LIF; PZP	2024-02-07	
Dexrazoxane	Y	Y	N		N	1995	Y	<a href="https://go.drugbank.com/drugs/DB00380">DB00380</a>	V03AF02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1738">CHEMBL1738</a>		TOP2B; TOP2A; CP; DPYS; MAPK8	2024-02-07	
Diethylstilbestrol	N	N	Y		N	1973	N	<a href="https://go.drugbank.com/drugs/DB00255">DB00255</a>	G03CC05; G03CB02; L02AA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL411">CHEMBL411</a>		ESR1; NPPC; HRAS; ESRRB; WNT7A; RORC; BDNF; TP53; AR; CYP2C19; ERBB2; NFE2L2; AMH; MYC; SLC5A7; CP; NR1I2; NR1H4; DNMT1; LPO; CYP2C9; BCL2; PTGES3; CYP3A4; CYP1A2; E2F1; GMNN; CYP2D6; ESRRG	2024-02-07	
Dinutuximab	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB09077">DB09077</a>	L01XC16	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3137342">CHEMBL3137342</a>	High Risk Neuroblastoma	MYCN	2024-02-07	
Docetaxel	Y	Y	N		Y	1996	Y	<a href="https://go.drugbank.com/drugs/DB01248">DB01248</a>	L01CD02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL92">CHEMBL92</a>	Esophageal Cancers; Ewing&#39;s Sarcoma; Locally Advanced Breast Cancer (LABC); Metastatic Bladder Cancer; Metastatic Breast Cancer; Metastatic Hormone Refractory Prostate Cancer; Node Positive Breast Cancer; Ovarian Cancer Metastatic; Small Cell Lung Cancer (SCLC); Soft Tissue Sarcoma (STS); Advanced untreated gastric adenocarcinoma; Locally advanced Squamous cell carcinoma of head and neck; Locally advanced untreated non small cell lung cancer; Metastatic Squamous cell carcinoma of head and neck; Metastatic untreated non small cell lung cancer; Refractory, locally advanced Non small cell lung cancer; Refractory, metastatic Non small cell lung cancer	TUBB3; TP53; RXRA; TUBB2B; BCL2; STK11; ESR1; VAC14; TUBB8; ERBB3; TUBB1; RAF1; FGFR1; EPHX1; ADAMTSL4-AS1; PGR; CHST3; SOX10; SLCO1B1; PPARD; XRCC3; BRD4; AKR1C3; SULT1C4; ACSS2; ABCC6; SPG7; FOLH1; HNF4A; XRCC1; PGP; TUBB6; ESR2; TUBB; CASP7; ERBB2; CD44; MUC16; CYP2A6; TUBA1C; NR1I3; CYP1A1; TUBB4B; ABCC1; PIK3CA; TUBB4A; GSTM1; SNORD68; TUB; KRAS; SLC10A2; TUBA3C; PPCDC; NR1I2; MDM4; TLE3; DDIT3; TUBB2A; RPL13; OPRM1; PRDX4; CYP3A5; BAX; ORM2; GSTP1; KLK3; RNF8; GAS6; MTHFR; PTEN; CYP4B1; HRAS; MAP3K1; XRCC4; BIRC5; FGFR3; IGF2; FBXW7; TUBA3E; TUBA1B; TUBA4A; NAT2; ABCG2; ATP7A; TUBA1A	2024-02-07	
Dostarlimab	Y	Y	N		N	2021	N	<a href="https://go.drugbank.com/drugs/DB15627">DB15627</a>	L01FF07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4298124">CHEMBL4298124</a>	Adults with mismatch repair deficient (dMMR) recurrent or advanced endometrial cancer that has progressed on or following prior treatment with a platinum-containing regimen	MSH6; PDCD1; MLH1	2024-02-07	
Doxorubicin	N	Y	Y		Y	1974	Y	<a href="https://go.drugbank.com/drugs/DB00997">DB00997</a>	L01DB01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL53463">CHEMBL53463</a>	Acute Lymphoblastic Leukaemias (ALL); Acute Myeloblastic Leukemia; Advanced Endometrial Cancer; Advanced Soft Tissue Sarcoma; Bladder transitional cell carcinoma; Carcinoma, Bronchogenic; Gastric Carcinoma; Kaposi&#39;s Sarcoma AIDS Related; Lymphoma, Hodgkins; Malignant Lymphomas; Metastatic Breast Cancer; Multiple Myeloma (MM); Mycosis Fungoides (MF); Neuroblastomas; Ovarian Cancer Metastatic; Ovarian Carcinoma; Sarcoma, Bone; Sezary Syndrome; Soft Tissue Sarcoma (STS); Thyroid Carcinoma; Waldenstrom&#39;s Macroglobulinemia (WM); Wilms&#39; tumor; Advanced Thymoma; Advanced uterine sarcoma	TOP2A	2024-02-07	
Doxorubicin Liposome	Y	Y	N		N	1998	Y	<a href="https://go.drugbank.com/drugs/Not found in DrugBank">Not found in DrugBank</a>	L01DB01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL53463">CHEMBL53463</a>	Acute Lymphoblastic Leukaemias (ALL); Acute Myeloblastic Leukemia; Advanced Endometrial Cancer; Advanced Soft Tissue Sarcoma; Bladder transitional cell carcinoma; Carcinoma, Bronchogenic; Gastric Carcinoma; Kaposi&#39;s Sarcoma AIDS Related; Lymphoma, Hodgkins; Malignant Lymphomas; Metastatic Breast Cancer; Multiple Myeloma (MM); Mycosis Fungoides (MF); Neuroblastomas; Ovarian Cancer Metastatic; Ovarian Carcinoma; Sarcoma, Bone; Sezary Syndrome; Soft Tissue Sarcoma (STS); Thyroid Carcinoma; Waldenstrom&#39;s Macroglobulinemia (WM); Wilms&#39; tumor; Advanced Thymoma; Advanced uterine sarcoma	TOP2A	2024-02-07	
Durvalumab	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB11714">DB11714</a>	L01FF03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3301587">CHEMBL3301587</a>	Unresectable Stage III Non-small Cell Lung Cancer; Urothelial carcinoma ureter metastatic; Locally advanced Urothelial Carcinoma; Unresectable, locally advanced PD-L1 positive Lung Cancer Non-Small Cell Cancer (NSCLC)	CD274; PBRM1; MLH1; ALK; ATM; IDH1; MSH2; MSH6	2024-02-07	
Duvelisib	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB11952">DB11952</a>	L01EM04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3039502">CHEMBL3039502</a>	Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL); Relapsed or Refractory Follicular Lymphoma; Refractory, relapsed small lymphocytic lymphoma	TP53; PIK3CD; PIK3CG	2024-02-07	
