diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6A	phosphodiesterase 6A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA4	NDUFA4 mitochondrial complex associated	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1536	ERGOCALCIFEROL	Small molecule	Vitamin D receptor agonist		VDR	vitamin D receptor	3	Unknown status	https://clinicaltrials.gov/ct2/show/NCT01623024
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL3261331	RESMETIROM	Small molecule	Thyroid hormone receptor beta-1 agonist		THRB	thyroid hormone receptor beta	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT04197479
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE3A	phosphodiesterase 3A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor	Inhibitor	GPD2	glycerol-3-phosphate dehydrogenase 2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL1496	ROSUVASTATIN	Small molecule	HMG-CoA reductase inhibitor		HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	3	Not yet recruiting	https://clinicaltrials.gov/ct2/show/NCT05731596
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL4091374	LANIFIBRANOR	Small molecule	Peroxisome proliferator-activated receptor agonist		PPARG	peroxisome proliferator activated receptor gamma	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT04849728
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1042	CHOLECALCIFEROL	Small molecule	Vitamin D receptor agonist		VDR	vitamin D receptor	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT05613192
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE3B	phosphodiesterase 3B	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA12	NADH:ubiquinone oxidoreductase subunit A12	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL4091374	LANIFIBRANOR	Small molecule	Peroxisome proliferator-activated receptor agonist		PPARD	peroxisome proliferator activated receptor delta	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT04849728
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4B	phosphodiesterase 4B	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL3261331	RESMETIROM	Small molecule	Thyroid hormone receptor beta-1 agonist		THRB	thyroid hormone receptor beta	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT03900429
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE1A	phosphodiesterase 1A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE7A	phosphodiesterase 7A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE9A	phosphodiesterase 9A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE2A	phosphodiesterase 2A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6D	phosphodiesterase 6D	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL4091374	LANIFIBRANOR	Small molecule	Peroxisome proliferator-activated receptor agonist		PPARA	peroxisome proliferator activated receptor alpha	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT04849728
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4A	phosphodiesterase 4A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL191	LOSARTAN	Small molecule	Type-1 angiotensin II receptor antagonist		AGTR1	angiotensin II receptor type 1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT01051219
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE1C	phosphodiesterase 1C	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE1B	phosphodiesterase 1B	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4C	phosphodiesterase 4C	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL595	PIOGLITAZONE	Small molecule	Peroxisome proliferator-activated receptor gamma agonist		PPARG	peroxisome proliferator activated receptor gamma	3	Not yet recruiting	https://clinicaltrials.gov/ct2/show/NCT05605158
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE7B	phosphodiesterase 7B	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	Adenosine A2 receptor antagonist		ADORA2B	adenosine A2b receptor	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL595	PIOGLITAZONE	Small molecule	Peroxisome proliferator-activated receptor gamma agonist		PPARG	peroxisome proliferator activated receptor gamma	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL2110727	CENICRIVIROC	Small molecule	C-C chemokine receptor type 5 antagonist		CCR5	C-C motif chemokine receptor 5	3	Terminated	https://clinicaltrials.gov/ct2/show/NCT03028740
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE10A	phosphodiesterase 10A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6G	phosphodiesterase 6G	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6C	phosphodiesterase 6C	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL2107830	EMPAGLIFLOZIN	Small molecule	Sodium/glucose cotransporter 2 inhibitor		SLC5A2	solute carrier family 5 member 2	3	Not yet recruiting	https://clinicaltrials.gov/ct2/show/NCT05605158
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL135	ESTRADIOL	Small molecule	Estrogen receptor alpha agonist		ESR1	estrogen receptor 1	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT04833140
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE8A	phosphodiesterase 8A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE4D	phosphodiesterase 4D	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL2108724	SEMAGLUTIDE	Protein	Glucagon-like peptide 1 receptor agonist		GLP1R	glucagon like peptide 1 receptor	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT04822181
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6B	phosphodiesterase 6B	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL566315	OBETICHOLIC ACID	Small molecule	Bile acid receptor FXR agonist		NR1H4	nuclear receptor subfamily 1 group H member 4	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT02548351
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE6H	phosphodiesterase 6H	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE5A	phosphodiesterase 5A	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL429910	DAPAGLIFLOZIN	Small molecule	Sodium/glucose cotransporter 2 inhibitor		SLC5A2	solute carrier family 5 member 2	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT03723252
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	3',5'-cyclic phosphodiesterase inhibitor		PDE8B	phosphodiesterase 8B	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL3916717	SELONSERTIB	Small molecule	Mitogen-activated protein kinase kinase kinase 5 inhibitor		MAP3K5	mitogen-activated protein kinase kinase kinase 5	3	Terminated	https://clinicaltrials.gov/ct2/show/NCT03053063,https://clinicaltrials.gov/ct2/show/NCT03053050
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL2110727	CENICRIVIROC	Small molecule	C-C chemokine receptor type 2 antagonist		CCR2	C-C motif chemokine receptor 2	3	Terminated	https://clinicaltrials.gov/ct2/show/NCT03028740
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL628	PENTOXIFYLLINE	Small molecule	Adenosine A2 receptor antagonist		ADORA2A	adenosine A2a receptor	3	Active, not recruiting	https://clinicaltrials.gov/ct2/show/NCT05284448
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB11	NADH:ubiquinone oxidoreductase subunit B11	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1201134	LUBIPROSTONE	Small molecule	Chloride channel protein 2 opener		CLCN2	chloride voltage-gated channel 2	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT05768334
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL3261331	RESMETIROM	Small molecule	Thyroid hormone receptor beta-1 agonist		THRB	thyroid hormone receptor beta	3	Recruiting	https://clinicaltrials.gov/ct2/show/NCT04951219
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	3	Completed	https://clinicaltrials.gov/ct2/show/NCT05521633
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL191	LOSARTAN	Small molecule	Type-1 angiotensin II receptor antagonist		AGTR1	angiotensin II receptor type 1	2	Unknown status	https://clinicaltrials.gov/ct2/show/NCT00699036
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL4297576	EFINOPEGDUTIDE	Protein	Glucagon receptor agonist		GCGR	glucagon receptor	2	Completed	https://clinicaltrials.gov/ct2/show/NCT04944992
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8	2	Completed	https://clinicaltrials.gov/ct2/show/NCT03850886
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL1201608	MUROMONAB-CD3	Antibody	T cell surface glycoprotein CD3 inhibitor		CD3E	CD3 epsilon subunit of T-cell receptor complex	2	Completed	https://clinicaltrials.gov/ct2/show/NCT01205087
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL3916717	SELONSERTIB	Small molecule	Mitogen-activated protein kinase kinase kinase 5 inhibitor		MAP3K5	mitogen-activated protein kinase kinase kinase 5	2	Completed	https://clinicaltrials.gov/ct2/show/NCT02781584,https://clinicaltrials.gov/ct2/show/NCT03449446
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL197672	EMRICASAN	Small molecule	Caspase inhibitor		CASP8	caspase 8	2	Completed	https://clinicaltrials.gov/ct2/show/NCT02077374
EFO_0003095	non-alcoholic fatty liver disease	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor	Inhibitor	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	2	Completed	https://clinicaltrials.gov/ct2/show/NCT03850886
EFO_1001249	non-alcoholic steatohepatitis	CHEMBL1751	DIGOXIN	Small molecule	Sodium/potassium-transporting ATPase inhibitor		ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	2	Withdrawn	https://clinicaltrials.gov/ct2/show/NCT04216693
